,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
24,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,High school graduate,White,,Never been married,Agnostic,Never,Democrat,,Liberal,4,Full-time employment
25,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Black,"Yes, a citizen of the United States",,Protestant,Seldom,,,Moderate,2 people,Full-time employment
26,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Never been married,Other,Never,Republican,"Less than $30,000",Very conservative,1,Retired
27,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",White,,Divorced,Jewish,A few times a year,Democrat,,Liberal,3,Self-employed
28,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,White,Yes,,Protestant,Once or twice a month,Independent,"Less than $30,000",Moderate,1,Part-time employment
29,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",,Agnostic,Never,Democrat,"Less than $30,000",Liberal,More than 4,Self-employed
30,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,High school graduate,White,,Never been married,Other,A few times a year,Independent,,Liberal,3,Self-employed
32,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Very conservative,More than 4,Unemployed
33,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,High school graduate,Other,,Married,Atheist,Never,,,Moderate,3,Home-maker
34,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Democrat,,Moderate,3 people,Unemployed
35,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",White,,Never been married,Agnostic,Never,Democrat,,Moderate,3 people,Full-time employment
37,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,High school graduate,Black,"Yes, a citizen of the United States",Married,Nothing in particular,Seldom,,,Liberal,2 people,Retired
39,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,Other,,Married,Agnostic,Never,Democrat,,Very liberal,3,Full-time employment
40,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",,Nothing in particular,A few times a year,Republican,"Less than $30,000",Conservative,3 people,Home-maker
42,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,Asian,"Yes, a citizen of the United States",,Agnostic,Never,Democrat,,Very liberal,2 people,Full-time employment
43,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,White,,Married,Roman Catholic,Once a week,,,Very conservative,3 people,Full-time employment
44,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Other,,,Agnostic,Never,Democrat,"Less than $30,000",Very liberal,2,Self-employed
45,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",,Atheist,Never,Democrat,,Very liberal,4 people,Full-time employment
46,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Married,Protestant,More than once a week,Republican,,Moderate,3 people,Full-time employment
48,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",White,,Married,Protestant,More than once a week,Independent,,Conservative,More than 4,Self-employed
49,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,,Never been married,Protestant,Seldom,Democrat,,Moderate,3,Retired
50,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,"Some college, no degree",White,,Married,Protestant,Seldom,Republican,,Conservative,2,Retired
51,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Postgraduate,White,,Married,Protestant,A few times a year,Republican,,Conservative,2,Full-time employment
52,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,High school graduate,White,,Never been married,Atheist,Never,Independent,,Moderate,3,Full-time employment
53,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Other,,,Agnostic,Never,Democrat,,Very liberal,3,Full-time employment
54,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Associate's degree,White,,Never been married,Protestant,Seldom,Republican,,Conservative,3,Unemployed
55,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Married,Protestant,Once a week,,,Moderate,2,Retired
57,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Divorced,Atheist,Never,,,Very liberal,2 people,Unemployed
58,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,,,Protestant,Seldom,Independent,,Moderate,2,Full-time employment
59,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,65+,College graduate/some postgrad,White,,Married,Roman Catholic,Once a week,,,Conservative,4,Full-time employment
60,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,,Married,Agnostic,Never,Independent,,Liberal,4,Full-time employment
62,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Very liberal,2 people,Full-time employment
66,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, OH)",Male,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,,Liberal,1 person,Full-time employment
68,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,,Widowed,Protestant,Seldom,Republican,,Conservative,1 person,Unemployed
69,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Asian,,Never been married,Buddhist,A few times a year,,,Moderate,More than 4,Part-time employment
71,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",,Roman Catholic,A few times a year,,,Conservative,3 people,Full-time employment
75,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Other,Once a week,Republican,"Less than $30,000",Very conservative,3,Student
76,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,Never been married,Nothing in particular,Never,Democrat,,Liberal,1,Retired
77,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,,,Moderate,1 person,Unemployed
78,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",Black,"Yes, a citizen of the United States",Divorced,Protestant,Seldom,,,Moderate,1 person,Retired
81,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,"Some college, no degree",White,,Married,Protestant,Never,Republican,,Very conservative,2,Part-time employment
82,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Widowed,Other,Never,Independent,,Moderate,3 people,Self-employed
83,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Very liberal,2 people,Unemployed
84,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,Divorced,Protestant,Once a week,,,Conservative,1,Retired
85,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Democrat,"\$75,000-\$100,000",Liberal,1 person,Full-time employment
86,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,College graduate/some postgrad,Black,,Married,Nothing in particular,Never,Democrat,,Liberal,2,Retired
88,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,White,,,Nothing in particular,Never,Democrat,,Very liberal,1,Self-employed
89,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,Yes,Married,Protestant,Never,Democrat,,Very liberal,2,Full-time employment
91,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Married,Protestant,Once a week,,,Moderate,4,Full-time employment
92,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,"Some college, no degree",White,,Married,Agnostic,Seldom,,,Liberal,More than 4,Self-employed
93,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Very liberal,2 people,Unemployed
94,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",Black,,,Nothing in particular,Seldom,Democrat,,Liberal,3 people,Unemployed
95,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,,Divorced,Atheist,Never,,,Liberal,2 people,Part-time employment
96,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,Black,,Widowed,Other,Seldom,Democrat,,Liberal,1,Unemployed
97,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",,Agnostic,Never,Independent,"Less than $30,000",Liberal,1 person,Retired
99,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,,Divorced,Nothing in particular,Never,,,Moderate,1 person,Home-maker
103,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Never been married,Agnostic,Never,Independent,,Liberal,4,Full-time employment
104,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,High school graduate,White,,Never been married,Nothing in particular,Never,Independent,,Moderate,4 people,Unemployed
105,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Never been married,Protestant,Seldom,Democrat,,Moderate,2,Unemployed
106,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Hispanic,,Married,Roman Catholic,Seldom,,,Moderate,2,Self-employed
107,"Pacific (HI, AK)",Female,30-49,College graduate/some postgrad,Other,,Divorced,Other,Never,Something else,,Very liberal,1,Unemployed
108,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,,Married,Atheist,Never,Democrat,,Liberal,4,Full-time employment
109,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Conservative,4 people,Full-time employment
115,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Conservative,3 people,Home-maker
116,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,"Some college, no degree",Other,,Never been married,Agnostic,Never,Democrat,,Liberal,More than 4,Student
117,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",,Roman Catholic,More than once a week,,,Conservative,3 people,Full-time employment
118,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Liberal,2 people,Full-time employment
119,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,,Conservative,More than 4,Part-time employment
121,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Married,Orthodox,Once a week,Republican,,Very conservative,3,Full-time employment
122,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Roman Catholic,A few times a year,Republican,"$100,000 or more",Conservative,2 people,Full-time employment
124,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,"\$50,000-\$75,000",Liberal,3 people,Retired
126,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,Other,,Never been married,Hindu,Seldom,Independent,,Moderate,1,Full-time employment
127,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,,Protestant,Seldom,Republican,,Moderate,2 people,Full-time employment
131,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Male.,30-49 years old.,High school graduate.,White.,"Yes, a citizen of the United States.",,Other.,Seldom attends religious services (aside from weddings and funerals).,Independent.,"Less than $30,000 per year.",Moderate.,3 people.,Self-employed.
136,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,Married,Roman Catholic,A few times a year,,,Moderate,4,Full-time employment
137,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Black,,Never been married,Nothing in particular,Never,Democrat,,Very liberal,2,Part-time employment
139,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",,Roman Catholic,A few times a year,Republican,"$100,000 or more",Moderate,3 people,Full-time employment
141,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Atheist,Never,Democrat,,Liberal,More than 4,Self-employed
142,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,White,,Never been married,Mormon,Once a week,Republican,,Very conservative,2,Full-time employment
145,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Widowed,Nothing in particular,Never,,,Moderate,2,Part-time employment
146,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Postgraduate,Hispanic,"Yes, a citizen of the United States",Married,Mormon,Once a week,,,Moderate,2 people,Self-employed
147,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,Divorced,Protestant,Once a week,Independent,,Conservative,2,Retired
151,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Postgraduate,Asian,,Never been married,Other,Never,Democrat,,Liberal,1,Retired
152,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Protestant,Never,Republican,,Very conservative,1 person,Full-time employment
153,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,,Nothing in particular,Never,,,Very liberal,More than 4,Part-time employment
154,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,65+.,Postgraduate degree.,White.,"Yes, a citizen of the United States.",Widowed.,Protestant.,Once a week.,Democrat.,,Liberal.,1 person.,Part-time employment.
155,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,White,,Married,Jewish,A few times a year,Independent,"\$100,000 or more",Moderate,2,Full-time employment
156,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,,Never been married,Protestant,More than once a week,Republican,,Liberal,3,Part-time employment
157,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,High school graduate,Black,,,Protestant,Never,Democrat,,Conservative,2,Full-time employment
158,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,A few times a year,Independent,,Moderate,3 people,Full-time employment
159,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Republican,,Conservative,3 people,Full-time employment
160,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Asian,No,Never been married,Nothing in particular,Never,Democrat,,Moderate,1,Part-time employment
161,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Other,,,Nothing in particular,Never,,,Moderate,More than 4,Part-time employment
163,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Hispanic,,Married,Roman Catholic,Never,,,Conservative,3,Full-time employment
165,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,White,,,Nothing in particular,Seldom,Democrat,"\$100,000 or more",Liberal,1,Self-employed
166,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,,Never been married,Nothing in particular,Seldom,,,Liberal,More than 4,Unemployed
167,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Married,Nothing in particular,Never,Republican,,Conservative,3,Full-time employment
168,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Less than high school,Other,,Never been married,Agnostic,Never,,,Moderate,More than 4,Unemployed
169,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,,Never been married,Nothing in particular,Seldom,Independent,,Moderate,1,Full-time employment
170,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Atheist,Never,,,Liberal,3 people,Full-time employment
171,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Very liberal,2 people,Part-time employment
172,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Liberal,4,Full-time employment
173,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,,Widowed,Nothing in particular,Never,,,Moderate,1 person,Part-time employment
174,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,,,Moderate,More than 4 people,Full-time employment
175,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,,Nothing in particular,Never,Democrat,,Very liberal,1,Retired
176,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Hindu,Once or twice a month,,,Liberal,3 people,Home-maker
177,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Hispanic,,Never been married,Nothing in particular,Seldom,Independent,,Moderate,1 person,Part-time employment
178,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,,Roman Catholic,A few times a year,Democrat,,Moderate,3,Full-time employment
179,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,,Married,Protestant,Seldom,Republican,,Moderate,2,Full-time employment
180,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,High school graduate,White,,Never been married,Atheist,Never,,,Conservative,2 people,Unemployed
181,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,65+,Postgraduate,White,,Widowed,Agnostic,Never,Democrat,,Very liberal,1,Unemployed
183,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,,Never been married,Nothing in particular,Never,Democrat,,Very liberal,4,Self-employed
184,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Never,Something else,,Very liberal,3 people,Full-time employment
191,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,Yes,,Protestant,A few times a year,Democrat,,Liberal,2,Unemployed
192,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,,Divorced,Nothing in particular,Never,Something else,,Moderate,1,Unemployed
193,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,Hispanic,"Yes, a citizen of the United States",Married,Protestant,Seldom,Democrat,"\$100,000 or more",Liberal,4 people,Part-time employment
196,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,Democrat,,Liberal,More than 4,Unemployed
198,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$30,000-\$50,000",Liberal,1 person,Full-time employment
199,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,"Some college, no degree",White,,Divorced,Roman Catholic,Seldom,Democrat,,Liberal,2,Self-employed
200,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,Postgraduate,Asian,,Never been married,Protestant,Never,Democrat,,Very liberal,3,Full-time employment
